match,home_team,away_team,player_name,player_team,line,over_price,opposition_team,market_name,agency
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Chloe Molloy,Sydney Swans,0.5,1.21,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Rebecca Privitelli,Sydney Swans,0.5,1.28,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Sabrina Frederick,Collingwood Magpies,0.5,1.61,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Eliza James,Collingwood Magpies,0.5,1.62,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Cynthia Hamilton,Sydney Swans,0.5,1.69,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Montana Beruldsen,Sydney Swans,0.5,2.06,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Montana Ham,Sydney Swans,0.5,2.13,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Alana Porter,Collingwood Magpies,0.5,2.18,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Mikala Cann,Collingwood Magpies,0.5,2.19,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Sofia Hurley,Sydney Swans,0.5,2.33,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Grace Campbell,Collingwood Magpies,0.5,2.58,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Imogen Barnett,Collingwood Magpies,0.5,2.59,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Laura Gardiner,Sydney Swans,0.5,2.6,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Tarni White,Collingwood Magpies,0.5,2.66,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Ally Morphett,Sydney Swans,0.5,2.7,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Erica Fowler,Collingwood Magpies,0.5,2.74,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Brooke Lochland,Sydney Swans,0.5,2.85,Collingwood Magpies,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Sarah Sansonetti,Collingwood Magpies,0.5,3.05,Sydney Swans,Player Goals,TopSport
Sydney Swans v Collingwood Magpies,Sydney Swans,Collingwood Magpies,Imogen Evans,Collingwood Magpies,0.5,3.15,Sydney Swans,Player Goals,TopSport
